,TotalSteps,Calories
0,13162,1985
1,10735,1797
2,10460,1776
3,9762,1745
4,12669,1863
5,9705,1728
6,13019,1921
7,15506,2035
8,10544,1786
9,9819,1775
10,12764,1827
11,14371,1949
12,10039,1788
13,15355,2013
14,13755,1970
15,18134,2159
16,13154,1898
17,11181,1837
18,14673,1947
19,10602,1820
20,14727,2004
21,15103,1990
22,11100,1819
23,14070,1959
24,12159,1896
25,11992,1821
26,10060,1740
27,12022,1819
28,12207,1859
29,12770,1783
31,8163,1432
32,7007,1411
33,9107,1572
34,1510,1344
35,5370,1463
36,6175,1554
37,10536,1604
38,2916,1435
39,4974,1446
40,6349,1467
41,4026,1470
42,8538,1562
43,6076,1617
44,6497,1492
45,2826,1402
46,8367,1670
47,2759,1401
48,2390,1404
49,6474,1655
50,36019,2690
51,7155,1497
52,2100,1334
53,2193,1368
54,2470,1370
55,1727,1341
56,2104,1474
57,3427,1427
58,1732,1328
59,2969,1393
60,3134,1359
61,2971,1002
62,10694,3199
63,8001,2902
64,11037,3226
65,5263,2750
66,15300,3493
67,8757,3011
68,7132,2806
69,11256,3300
70,2436,2430
71,1223,2140
72,3673,2344
73,6637,2677
74,3321,2413
75,3580,2497
76,9919,3123
77,3032,2489
78,9405,3108
79,3176,2498
80,18213,3846
81,6132,2696
82,3758,2580
83,12850,3324
84,2309,2222
85,4363,2463
86,9787,3328
87,13372,3404
88,6724,2987
89,6643,3008
90,9167,2799
91,1329,1276
92,6697,2030
93,4929,1860
94,7937,2130
95,3844,1725
96,3414,1657
97,4525,1793
98,4597,1814
99,197,1366
100,8,1349
101,8054,2062
102,5372,1827
103,3570,1645
104,0,1347
105,0,1347
106,0,1347
107,4,1348
108,6907,1992
109,4920,1856
110,4014,1763
111,2573,1541
112,0,1348
113,4059,1742
114,2080,1549
115,2237,1589
116,44,1351
117,0,1347
118,0,1347
119,0,1347
120,0,1347
121,0,1347
122,0,665
123,678,2220
124,356,2151
125,2163,2383
126,980,2221
127,0,2064
128,0,2063
129,244,2111
130,0,2063
131,0,2063
132,0,2064
133,149,2093
134,2945,2499
135,2090,2324
136,152,2100
137,3761,2638
138,0,2063
139,1675,2351
140,0,2063
141,0,2064
142,2704,2411
143,3790,2505
144,1326,2195
145,1786,2338
146,0,2063
147,2091,2383
148,1510,2229
149,0,2063
150,0,2063
151,0,2063
152,0,2063
153,0,1383
154,11875,2390
155,12024,2601
156,10690,2312
157,11034,2525
158,10100,2177
159,15112,2782
160,14131,2770
161,11548,2489
162,15112,2897
163,12453,3158
164,12954,2638
165,6001,2069
166,13481,2529
167,11369,2470
168,10119,2793
169,10159,2463
170,10140,2296
171,10245,2611
172,18387,2732
173,10538,2380
174,10379,2473
175,12183,2752
176,11768,2649
177,11895,2609
178,10227,2498
179,6708,1995
180,3292,1848
181,13379,2709
182,12798,2797
183,13272,2544
184,9117,1853
185,4414,1459
186,4993,1521
187,3335,1431
188,3821,1444
189,2547,1373
190,838,1214
191,3325,1419
192,2424,1356
193,7222,1667
194,2467,1370
195,2915,1399
196,12357,1916
197,3490,1401
198,6017,1576
199,5933,1595
200,6088,1593
201,6375,1649
202,7604,1692
203,4729,1506
204,3609,1447
205,7018,1690
206,5992,1604
207,6564,1658
208,12167,1926
209,8198,1736
210,4193,1491
211,5528,1555
212,10685,1869
213,254,1141
214,8580,1698
215,8891,1364
216,10725,2124
217,7275,2003
218,3973,1696
219,5205,1801
220,5057,1724
221,6198,1852
222,6559,1905
223,5997,1811
224,7192,1922
225,3404,1610
226,5583,1851
227,5079,1804
228,4165,1725
229,3588,1654
230,3409,1632
231,1715,1481
232,1532,1473
233,924,1410
234,4571,1779
235,772,1403
236,3634,1613
237,7443,1878
238,1201,1426
239,5202,1780
240,4878,1742
241,7379,1972
242,5161,1821
243,3090,1630
244,6227,1899
245,6424,1903
246,2661,1125
247,10113,2344
248,10352,2038
249,10129,2010
250,10465,2133
251,22244,2670
252,5472,1882
253,8247,1944
254,6711,2346
255,10999,2198
256,10080,2048
257,7804,1946
258,16901,2629
259,9471,2187
260,9482,2095
261,5980,1861
262,11423,2194
263,5439,1854
264,42,403
265,8796,1982
266,7618,2004
267,7910,1893
268,8482,2063
269,9685,2148
270,2524,1529
271,7762,1890
272,7948,1956
273,9202,2094
274,8859,1970
275,7286,2241
276,9317,2021
277,6873,1898
278,7373,1907
279,8242,1882
280,3516,1966
281,7913,1835
282,7365,1780
283,8452,1830
284,7399,1739
285,7525,1878
286,7412,1906
287,8278,2015
288,8314,1971
289,7063,1910
290,4940,1897
291,8168,2096
292,7726,1906
293,8275,1962
294,6440,1826
295,7566,1431
296,4747,1788
297,9715,2093
298,8844,2065
299,7451,1908
300,6905,1908
301,8199,1964
302,6798,2014
303,7711,1985
304,4880,1867
305,8857,2124
306,3843,1669
307,7396,1995
308,6731,1921
309,5995,2010
310,8283,2057
311,7904,2095
312,5512,1972
313,9135,2044
314,5250,1946
315,3077,1237
316,8856,1450
317,10035,1495
318,7641,1433
319,9010,1468
320,13459,1625
321,10415,1529
322,11663,1584
323,12414,1638
324,11658,1554
325,6093,1397
326,8911,1481
327,12058,1638
328,14112,1655
329,11177,1570
330,11388,1551
331,7193,1377
332,7114,1407
333,10645,1545
334,13238,1650
335,10414,1501
336,16520,1760
337,14335,1710
338,13559,1628
339,12312,1618
340,11677,1590
341,11550,1574
342,13585,1633
343,14687,1667
344,13072,1630
345,746,52
346,8539,3654
347,0,1981
348,108,2011
349,1882,2951
